,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
1000,secretaria de educacion municipal de ibague,7958,centro de idiomas tolimense,73,tolima,73001,ibague,privada,no,4.4378,-75.2006
1001,secretaria de educacion departamental nariño,4260,instituto tecnico julian buchely,52,nariño,52683,sandona,privada,no,1.2847,-77.4711
1002,secretaria de educacion municipal de villavicencio,9253,corporacion universitaria de colombia ideas,50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
1004,secretaria de educacion municipal de sincelejo,496,instituto nacional de educacion y superacion politecnico indes,70,sucre,70001,sincelejo,privada,no,9.2994,-75.3958
1005,secretaria de educacion municipal de bucaramanga,665,centro de formacion empresarial - camara de comercio,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
1006,secretaria de educacion departamental cundinamarca,3917,"centro de experimentacion y seguridad vial colombia ""cesvi colombia s.a""",25,cundinamarca,25799,tenjo,privada,no,4.8697,-74.1439
1007,secretaria de educacion municipal de riohacha,6689,politecnico institucional del caribe - incat,44,la guajira,44001,riohacha,privada,no,11.5442,-72.9069
1008,secretaria de educacion municipal de medellin,8606,centro de educacion en salud cedes - medellin,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1009,secretaria de educacion municipal de buenaventura,9442,academia de ingles new generation,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
1010,secretaria de educacion distrito bogota,155,instituto colombiano de aprendizaje incap,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
1011,secretaria de educacion municipal de medellin,2231,escuela de diseño tecnico esditec,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1012,secretaria de educacion departamental la guajira,7830,"corporacion educativa del caribe ""cedelca""",44,la guajira,44855,urumita,privada,no,10.5603,-73.0136
1013,secretaria de educacion municipal de medellin,6558,politecnico nacional de formacion empresarial - nafoem,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1014,secretaria de educacion municipal de floridablanca,5611,escuela de formacion en derechos humanos,68,santander,68276,floridablanca,privada,no,7.0697,-73.0978
1015,secretaria de educacion municipal de facatativa,4511,corciencia,25,cundinamarca,25269,facatativa,privada,no,4.8147,-74.3553
1016,secretaria de educacion departamental caldas,5515,"cuerpo de bomberos voluntarios, del municipio de riosucio",17,caldas,17614,riosucio,privada,no,5.4208,-75.7028
1017,secretaria de educacion departamental caldas,5515,"cuerpo de bomberos voluntarios, del municipio de riosucio",17,caldas,17614,riosucio,privada,no,7.4386,-77.1133
1018,secretaria de educacion municipal de ipiales,9235,servicio de enseñanza region sur -ser sur,52,nariño,52356,ipiales,privada,no,0.8289,-77.6406
1019,secretaria de educacion departamental risaralda,4547,corporacion para el desarrollo integral de la familia corpasar (pueblo rico),66,risaralda,66572,pueblo rico,privada,no,5.2226,-76.0303
1020,secretaria de educacion departamental magdalena,4624,instituto de carreras tecnicas de el banco,47,magdalena,47245,el banco,privada,no,9.0008,-73.9744
1021,secretaria de educacion departamental cundinamarca,3926,instituto tecnico luis medina nivia,25,cundinamarca,25295,gachancipa,privada,no,4.9908,-73.8731
1022,secretaria de educacion municipal de villavicencio,5518,corporacion universal,50,meta,50001,villavicencio,privada,si,4.1425,-73.6294
1023,secretaria de educacion municipal de medellin,2914,formamos - centro tecnico de formacion laboral,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1024,secretaria de educacion municipal de sogamoso,8284,instituto tecnico de gestion empresarial g4,15,boyaca,15759,sogamoso,privada,no,5.7158,-72.9333
1025,secretaria de educacion municipal de cali,6439,academia  de aviacion internacional s.a.s,76,valle del cauca,76001,cali,privada,si,3.44,-76.5197
1026,secretaria de educacion distrito barranquilla,7601,enseñanza tecnica del litoral entel,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
1027,secretaria de educacion municipal de monteria,4296,english house,23,cordoba,23001,monteria,privada,no,8.76,-75.8856
1028,secretaria de educacion departamental santander,4571,fundacion prospectiva ong,68,santander,68406,lebrija,privada,no,7.1132,-73.2178
1029,secretaria de educacion distrito bogota,7402,wall street institute colombia 1,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1030,secretaria de educacion departamental magdalena,8183,instituto de sistemas compuserv,47,magdalena,47318,guamal,privada,no,9.1442,-74.2236
1031,secretaria de educacion departamental magdalena,8183,instituto de sistemas compuserv,47,magdalena,47318,guamal,privada,no,3.8804,-73.7657
1032,secretaria de educacion departamental meta,9394,institucion de educacion para el trabajo y el desarrollo humano canadian institute of english,50,meta,50313,granada,privada,no,6.1442,-75.1853
1033,secretaria de educacion departamental meta,9394,institucion de educacion para el trabajo y el desarrollo humano canadian institute of english,50,meta,50313,granada,privada,no,4.5186,-74.3514
1034,secretaria de educacion departamental meta,9394,institucion de educacion para el trabajo y el desarrollo humano canadian institute of english,50,meta,50313,granada,privada,no,3.5462,-73.7069
1035,secretaria de educacion municipal de sogamoso,8513,instituto en sistema de gestion empresarial y seguridad vial - sigem vial sas,15,boyaca,15759,sogamoso,privada,no,5.7158,-72.9333
1036,secretaria de educacion municipal de yopal,8814,instituto tecnico laboral interlemd,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
1037,secretaria de educacion departamental atlantico,9456,potencial humano del norte s.a.s,8,atlantico,8638,sabanalarga,privada,no,10.63,-74.9236
1038,secretaria de educacion departamental atlantico,9456,potencial humano del norte s.a.s,8,atlantico,8638,sabanalarga,privada,no,6.8489,-75.8171
1039,secretaria de educacion departamental atlantico,9456,potencial humano del norte s.a.s,8,atlantico,8638,sabanalarga,privada,no,4.8543,-73.04
1040,secretaria de educacion distrito bogota,3720,academia de arte fabula,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1041,secretaria de educacion municipal de ipiales,5664,centro latinoamericano tecnico sistematizado celtes,52,nariño,52356,ipiales,privada,no,0.8289,-77.6406
1042,secretaria de educacion municipal de medellin,2945,instituto tecnico de tabulacion y comercio,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1043,secretaria de educacion departamental de antioquia,6565,institucion universitaria tecnologico de antioquia,5,antioquia,5031,amalfi,oficial,no,6.9092,-75.0767
1044,secretaria de educacion municipal de rionegro,5303,fundacion educativa san nicolas -fesni,5,antioquia,5615,rionegro,privada,si,6.1551,-75.3737
1045,secretaria de educacion municipal de rionegro,5303,fundacion educativa san nicolas -fesni,5,antioquia,5615,rionegro,privada,si,7.2646,-73.1501
1046,secretaria de educacion distrito bogota,7404,centro de educacion para el trabajo y el desarrollo humano cedep,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1047,secretaria de educacion departamental cesar,6719,"instituto tecnico del norte ""itn""",20,cesar,20045,becerril,privada,no,9.7031,-73.2775
1048,secretaria de educacion municipal de chia,8749,academia de idiomas smart,25,cundinamarca,25175,chia,privada,si,4.8633,-74.0528
1049,secretaria de educacion distrito santa marta,5883,"instituto de capacitacion tecnica ""ict""",47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
1050,secretaria de educacion distrito barranquilla,744,instituto centro de sistemas s.a.s,8,atlantico,8001,barranquilla,privada,si,10.9639,-74.7964
1051,secretaria de educacion municipal de medellin,4757,grupo formarte,5,antioquia,5001,medellin,privada,si,6.2447,-75.5748
1052,secretaria de educacion departamental de antioquia,1043,escuela de mecanica industrial loceria colombiana,5,antioquia,5129,caldas,privada,no,6.0886,-75.6361
1053,secretaria de educacion departamental de antioquia,1043,escuela de mecanica industrial loceria colombiana,5,antioquia,5129,caldas,privada,no,5.5546,-73.8657
1054,secretaria de educacion departamental risaralda,4549,corporacion para el desarrollo integral de la familia corpasar (santuario),66,risaralda,66687,santuario,privada,no,6.1383,-75.2642
1055,secretaria de educacion departamental risaralda,4549,corporacion para el desarrollo integral de la familia corpasar (santuario),66,risaralda,66687,santuario,privada,no,5.0747,-75.9644
1056,secretaria de educacion distrito bogota,9356,corporacion universitaria iberoamericana,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1057,secretaria de educacion distrito bogota,6327,digital dj academia de formacion integral en musica y sonido,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1058,secretaria de educacion municipal de funza,4813,escuela nacional de informatica,25,cundinamarca,25286,funza,privada,no,4.7175,-74.2094
1059,secretaria de educacion municipal de villavicencio,3206,"unidad tecnologica de innovacion y emprendimiento superior ""unies""",50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
1060,secretaria de educacion departamental de antioquia,8323,fundacion universitaria catolica del norte,5,antioquia,5667,san rafael,privada,no,6.295,-75.0281
1061,secretaria de educacion departamental cordoba,6885,corporacion instituto del norte,23,cordoba,23580,puerto libertador,privada,no,7.8881,-75.6717
1062,secretaria de educacion municipal de armenia,7758,actuar,63,quindio,63001,armenia,privada,no,4.5389,-75.6725
1063,secretaria de educacion municipal de armenia,7758,actuar,63,quindio,63001,armenia,privada,no,6.1564,-75.7858
